scheme_name,category,eligibility,state,benefit
Startup India,Housing,Worker,Madhya Pradesh,Employment Guarantee
Beti Bachao Beti Padhao,Women,All Citizens,West Bengal,Housing Support
MGNREGA,Business,Worker,Bihar,Cash Transfer
Beti Bachao Beti Padhao,Agriculture,Farmer,West Bengal,Insurance Cover
Beti Bachao Beti Padhao,Agriculture,All Citizens,Rajasthan,Cash Transfer
Ayushman Bharat,Business,Women,Bihar,Subsidy
Ayushman Bharat,Education,Worker,West Bengal,Employment Guarantee
Ayushman Bharat,Employment,All Citizens,Karnataka,Housing Support
PM-KISAN,Women,All Citizens,West Bengal,Insurance Cover
Pradhan Mantri Awas Yojana,Women,Women,Tamil Nadu,Housing Support
PM-KISAN,Employment,Farmer,Bihar,Subsidy
MGNREGA,Education,Worker,Bihar,Employment Guarantee
Startup India,Healthcare,Student,Tamil Nadu,Scholarship
Standup India,Business,Student,Bihar,Scholarship
MGNREGA,Housing,Farmer,Tamil Nadu,Cash Transfer
Startup India,Healthcare,Worker,Maharashtra,Cash Transfer
Beti Bachao Beti Padhao,Women,Women,Bihar,Scholarship
Ayushman Bharat,Finance,Farmer,Bihar,Subsidy
MGNREGA,Agriculture,Worker,Tamil Nadu,Employment Guarantee
Pradhan Mantri Awas Yojana,Finance,Worker,Maharashtra,Insurance Cover
MGNREGA,Women,Student,Madhya Pradesh,Subsidy
Pradhan Mantri Awas Yojana,Women,Worker,Madhya Pradesh,Insurance Cover
PM-KISAN,Employment,Worker,West Bengal,Insurance Cover
Mid-Day Meal,Women,All Citizens,Madhya Pradesh,Housing Support
Pradhan Mantri Awas Yojana,Women,Student,Maharashtra,Scholarship
Beti Bachao Beti Padhao,Finance,Worker,Karnataka,Housing Support
MGNREGA,Women,Women,Tamil Nadu,Scholarship
